Temperature,Humidity,Weather,Wind Speed,Time of Day,Action
30,82,clouds,1.6,morning,0
21,67,rain,3.4,evening,0
20,49,clear,2.1,evening,0
32,75,fog,3.0,evening,1
36,82,rain,3.4,night,1
35,67,rain,2.5,night,1
28,80,clouds,0.1,morning,0
25,82,clear,1.4,afternoon,0
23,42,clouds,1.0,morning,0
23,70,clear,2.3,afternoon,0
40,77,rain,2.7,morning,1
29,48,fog,0.8,morning,0
39,60,rain,2.4,afternoon,0
38,46,clear,0.8,afternoon,0
37,81,rain,0.9,evening,1
34,71,clouds,0.1,morning,1
21,60,rain,0.7,afternoon,0
35,76,rain,3.3,night,1
20,58,fog,0.7,night,0
21,50,clear,4.2,afternoon,0
39,40,fog,4.0,night,0
34,75,clouds,4.5,morning,1
38,77,fog,4.8,afternoon,1
38,73,clear,1.0,evening,1
22,81,rain,1.9,evening,0
23,70,fog,2.3,afternoon,0
23,58,clouds,0.9,evening,0
28,62,clear,3.2,evening,0
36,81,clear,1.0,night,1
29,75,fog,2.9,evening,1
26,78,clouds,3.2,night,0
39,66,clouds,1.3,evening,1
27,58,rain,1.1,morning,0
20,63,fog,0.8,evening,0
27,75,clear,4.8,evening,0
28,72,fog,1.1,evening,0
36,58,fog,2.7,night,0
21,52,rain,3.9,evening,0
35,42,clouds,4.2,morning,0
25,54,clear,0.4,morning,0
37,61,clear,1.4,evening,1
27,59,clear,2.8,evening,0
27,65,clouds,3.0,evening,0
20,51,clouds,4.7,afternoon,0
27,88,rain,3.1,evening,0
31,62,clouds,4.1,night,1
32,40,clouds,0.5,afternoon,0
39,42,rain,3.5,evening,0
39,74,clear,4.7,morning,1
23,45,clouds,3.6,night,0
31,63,clear,0.4,night,1
28,63,rain,3.4,afternoon,0
21,50,rain,2.1,afternoon,0
30,71,clouds,0.0,afternoon,1
39,69,clear,4.3,afternoon,1
29,72,fog,1.8,night,0
37,74,fog,4.4,evening,1
40,56,rain,1.5,night,0
33,76,fog,1.8,morning,1
27,76,rain,1.1,morning,0
40,60,clear,1.3,afternoon,0
20,65,clouds,1.6,night,0
33,76,clear,4.1,evening,1
22,88,rain,3.9,evening,0
30,77,rain,3.0,evening,1
32,88,clear,1.5,afternoon,1
31,48,clear,1.3,morning,0
33,52,rain,3.6,afternoon,0
25,76,fog,3.6,afternoon,0
23,86,rain,3.1,evening,0
30,47,fog,1.0,evening,0
28,79,clear,1.9,evening,0
35,74,clouds,3.0,evening,1
33,43,fog,1.0,morning,0
21,85,clear,4.4,afternoon,0
39,42,rain,4.5,morning,0
30,42,clouds,1.4,morning,0
25,68,fog,4.1,afternoon,0
23,89,clouds,1.5,evening,0
32,53,clouds,2.1,morning,0
27,83,rain,0.3,morning,0
38,53,clear,0.7,afternoon,0
39,66,rain,4.8,night,1
28,78,rain,2.1,night,0
33,88,clear,2.8,evening,1
39,44,clouds,1.9,evening,0
33,47,rain,1.9,night,0
28,43,clouds,0.6,evening,0
24,48,fog,0.4,evening,0
39,83,clear,0.1,afternoon,1
36,65,clouds,2.0,night,1
21,50,rain,4.5,evening,0
33,78,rain,3.1,evening,1
24,81,clear,0.2,morning,0
21,66,rain,3.3,night,0
20,53,clouds,4.6,morning,0
27,72,rain,2.3,morning,0
29,56,clouds,2.1,afternoon,0
35,58,rain,3.3,morning,0
35,72,rain,3.7,evening,1
28,76,clear,4.3,night,0
40,60,clouds,2.8,afternoon,0
33,81,fog,3.8,evening,1
33,70,clouds,4.8,afternoon,1
21,59,clouds,3.8,morning,0
32,88,clouds,1.6,night,1
36,76,clear,0.8,morning,1
28,41,clear,4.4,afternoon,0
23,46,fog,2.1,afternoon,0
23,53,rain,4.5,night,0
21,80,fog,3.2,evening,0
26,90,clear,3.7,afternoon,0
40,43,clear,3.5,night,0
27,61,fog,0.6,morning,0
21,89,fog,1.8,morning,0
25,84,clear,1.5,morning,0
26,89,clouds,4.2,night,0
20,60,clear,1.7,afternoon,0
35,89,fog,2.8,afternoon,1
34,40,fog,2.3,evening,0
27,47,fog,4.2,evening,0
20,78,clouds,3.8,afternoon,0
37,89,clear,4.5,night,1
20,56,rain,3.2,evening,0
24,42,rain,4.2,afternoon,0
39,51,clear,0.1,morning,0
36,54,fog,4.7,night,0
31,62,rain,3.3,afternoon,1
22,85,rain,4.2,evening,0
